x,y,z
0.0,0.0,0.0
0.0005002530390818927,1.5736832291852153e-05,0.003003003003003003
0.0009990217990594706,6.291620625073267e-05,0.006006006006006006
0.001494824447139151,0.0001414447992907301,0.009009009009009009
0.001986184039762099,0.00025116722758818024,0.012012012012012012
0.002471630958759117,0.0003918662765979922,0.015015015015015015
0.002949705337362607,0.0005632632233508623,0.018018018018018018
0.0034189594727146917,0.0007650182501063655,0.021021021021021023
0.0038779602215277672,0.0009967309488163828,0.024024024024024024
0.004325291375575178,0.0012579409157334688,0.02702702702702703
0.004759556013715342,0.0015481284353797242,0.03003003003003003
0.005179378827182543,0.0018667152529736875,0.03303303303303303
0.0055834084149115745,0.0022130654342957952,0.036036036036036036
0.005970319545701584,0.002586486311857291,0.03903903903903904
0.006338815384066654,0.002986229516123171,0.042042042042042045
0.006687629676666879,0.0034114920904270074,0.04504504504504504
0.0070155288962639294,0.003861417688104486,0.04804804804804805
0.007321314340199115,0.004335097850263186,0.05105105105105105
0.007603824180450003,0.004831573362498941,0.05405405405405406
0.007861935462383273,0.0053498356887639155,0.057057057057057055
0.008094566049386936,0.00588882848048854,0.06006006006006006
0.008300676510634057,0.006447449158958907,0.06306306306306306
0.008479271949302696,0.007024550568853084,0.06606606606606606
0.008629403768652752,0.007618942700744226,0.06906906906906907
0.008750171373439771,0.008229394480285656,0.07207207207207207
0.008840723804228384,0.00885463562170301,0.07507507507507508
0.008900261302253807,0.009493358543131582,0.07807807807807808
0.00892803680256867,0.010144220341253032,0.08108108108108109
0.008923357353304151,0.010805844822604754,0.08408408408408409
0.008885585458969118,0.011476824588857716,0.08708708708708708
0.008814140345808089,0.012155723173284444,0.09009009009009009
0.008708499147339,0.012841077225567899,0.09309309309309309
0.008568198008293922,0.01353139874203512,0.0960960960960961
0.008392833105290784,0.014225177338335643,0.0990990990990991
0.008182061582671074,0.014920882561525137,0.1021021021021021
0.007935602402047543,0.015616966238458428,0.10510510510510511
0.00765323710421708,0.016311864857344083,0.10810810810810811
0.007334810482206609,0.017004001979264334,0.1111111111111111
0.006980231164334676,0.017691790676419898,0.11411411411411411
0.006589472106287237,0.018373635993819134,0.11711711711711711
0.006162570991323879,0.01904793743109463,0.12012012012012012
0.005699630537849428,0.019713091441098677,0.12312312312312312
0.005200818713705758,0.02036749394190104,0.12612612612612611
0.004666368856659623,0.021009542838789027,0.12912912912912913
0.004096579700683908,0.02163764055285066,0.13213213213213212
0.003491815307752203,0.022250196552706717,0.13513513513513514
0.0028525049049894593,0.02284562988594666,0.13813813813813813
0.002179142627144789,0.023422371706817505,0.14114114114114115
0.0014722871644760691,0.02397886779671222,0.14414414414414414
0.0007325613162594675,0.02451358107400722,0.14714714714714713
-3.934854973935526e-05,0.025024994089804742,0.15015015015015015
-0.0008426931313722642,0.025511611506147412,0.15315315315315314
-0.0016766609192111807,0.02597196255328761,0.15615615615615616
-0.002540379015940544,0.026404603462613946,0.15915915915915915
-0.0034329140472129397,0.026808119871861536,0.16216216216216217
-0.004353273163019894,0.027181129199260957,0.16516516516516516
-0.00530040512851017,0.027522282983313502,0.16816816816816818
-0.00627320150306903,0.027830269184917322,0.17117117117117117
-0.007270497906354603,0.028103814448610053,0.17417417417417416
-0.008291075369871276,0.028341686319738817,0.17717717717717718
-0.009333661772545675,0.028542695414417764,0.18018018018018017
-0.010396933358658208,0.028705697539186836,0.1831831831831832
-0.011479516336371703,0.028829595757342587,0.18618618618618618
-0.012579988554990611,0.028913342398973394,0.1891891891891892
-0.013696881258976383,0.028955941011796313,0.1921921921921922
-0.014828680916641418,0.028956448249961908,0.19519519519519518
-0.0159738311213405,0.02891397569806589,0.1981981981981982
-0.01713073456288007,0.028827691627682648,0.2012012012012012
-0.018297755066768336,0.02869682268381538,0.2042042042042042
-0.019473219698834962,0.02852065549874098,0.2072072072072072
-0.020655420932658042,0.02829853823081405,0.21021021021021022
-0.021842618877147422,0.0280298820258843,0.2132132132132132
-0.023033043561548998,0.027714162399074486,0.21621621621621623
-0.024224897275051716,0.027350920534761923,0.21921921921921922
-0.02541635695810124,0.02693976450270551,0.2222222222222222
-0.026605576642448885,0.026480370388361603,0.22522522522522523
-0.027790689936892456,0.025972483335536718,0.22822822822822822
-0.02896981255559833,0.02541591849963163,0.23123123123123124
-0.03014104488582919,0.024810561909840823,0.23423423423423423
-0.031302474591841926,0.024156371238782982,0.23723723723723725
-0.03245217925166335,0.023453376478151725,0.24024024024024024
-0.033588229023399,0.02270168051909171,0.24324324324324326
-0.034708689337681474,0.02190145963612315,0.24624624624624625
-0.035811623612820614,0.02105296387355687,0.24924924924924924
-0.03689509598917743,0.020156517333463478,0.25225225225225223
-0.03795717407924767,0.01921251836438242,0.2552552552552553
-0.038995931729908825,0.018221439650081068,0.25825825825825827
-0.04000945179325778,0.017183828197798484,0.26126126126126126
-0.04099582890244197,0.016100305225535173,0.26426426426426425
-0.04195317224886938,0.014971565948076682,0.2672672672672673
-0.042879608357167864,0.01379837926156682,0.2702702702702703
-0.04377328385425458,0.012581587326574464,0.2732732732732733
-0.0446323682288711,0.011322105049726852,0.27627627627627627
-0.04545505657793893,0.010020919464110812,0.27927927927927926
-0.04623957233609385,0.008679089008772923,0.2822822822822823
-0.0469841699847658,0.007297742707778048,0.2852852852852853
-0.047687137737183666,0.005878079249415366,0.2882882882882883
-0.04834680019570167,0.004421365966268361,0.2912912912912913
-0.04896152097786574,0.0029289377169943007,0.29429429429429427
-0.04952970530766458,0.0014021956707851399,0.2972972972972973
-0.05004980256844074,-0.00015739400439121335,0.3003003003003003
-0.05052030881397223,-0.001748301548545315,0.3033033033033033
-0.05093976923427484,-0.003368935110067699,0.3063063063063063
-0.05130678057271883,-0.005017642338305891,0.30930930930930933
-0.0516199934911025,-0.006692712066723885,0.3123123123123123
